15068	6	3	3	'Osmosis, which is the diffusion of water through a semi-permiable membrane, is one process that a cell uses to move substances across the cell membrane.Cells also use facilitated diffusion. In facilitated diffusion, glucose molecules, which normally would not be allowed to cross the cell membrane, is moved across the cell membrane through protein pumps.Active transport is also used by cells to move substances across the cell membrane. In normal diffusion, water moves from high concentration to low concentration, but with active transport, the cell uses energy to move substances from low concentration to high concentration.'
15101	6	3	3	'Osmosis is the process where water flows in and out of the cell membrane.Active transport uses energy to move molecules throught he membrane of a cell.Passive transport is a process where molecules move through the cell membrane without the use of energy.'
15119	6	3	2	'Three processes that cells use to move substances across the membrane are diffusion, osmosis, and endocytosis. Diffusion occurs when there is a high concentration of materials out side of the cell, and a low concentration of the materials inside the cell.  The materials then pass through the membrane into the cell to balance it out without using energy.  Osmosis is similar to diffusion, but occurs with water.  The water passes through the cell membrane to balance out the concentration of the water, without using energy. Endocytosis is a form of active transport where energy is used to bring materials from a low concentration into a higher concentration, into the cell, through the membrane.'
15211	6	3	3	'Three processes that are used by a cell to control movement are osmosis, diffusion, and active transport. Osmosis is the movement of water across a selectively premiable membrane. It requires no energy, so it is called anerobic. Diffusion is the movement of particles in a cell from high to low concentration, this process also uses no energy because it goes with the concentration gradient. Active transport is the movement of particles in a cell from low to high concentration, this process uses energy, or ATP, because it goes against the concentration gradient.'
15251	6	3	3	'Diffusion: If a susbstance has a higher concentration on the outside of the cell, then the cell membrance will diffuse the substance into the cell creating equilibrium. It will do the same thing if the concentration is lower outside the cell only opposite. This is a type of passive transport because the substance is moving with the concentration gradient and it doesn''t require any energy.Facilitated Diffusion: If the particles are too large to diffuse across the cell membrane, then protein pumps help. These carry the substances across the membrane without using any energy. This is also a type of passive transport.Osmosis: Osmosis is the process of diffusion only with water. If concentration of a substance is greater outside the cell, then water will move out of the cell to create equilibrium. If the concentration is lower outside the cell, then the cell will move water into the cell to create equilibrium.'
15254	6	3	3	'cells use endocytosis, exocytosis and osmosis to move between membranes     In endocytosis, material is encased and becomes part of a cell. in exocytosis the cell encases things inside of itself and sends them out.in osmosis, water is difused and material travels through the membrane'
15267	6	3	3	'As one way of controlling the movement of substances across the membrane, cells use selective permeability. Selective permeability is the process by which cells decide which substances should go into or out of the cell and which shouldn''t. Cells also use passive transport, which requires no energy from the cell itself, to do the same thing. Finally, cells use active transport, which goes against the concentration gradient and requires cellular energy. Two types of active transport are endocytosis, the process of letting materials into the cell, and exocytosis, the process of expelling wastes and other unwanted materials from the cell.'
15306	6	3	3	'Three process used by the cell to control the movement of substances across the cell membrane are active transport, passive transport, and a semi-permable membrane.  Active transport is the process in which the cell moves materials across its membrane with the use of energy.  Passive transport is the movement of material across the cell membrane without the use of energy.  A semi-permable membrane is what helps the cell control what pass through the cell and how it gets in.'
15327	6	3	3	'Facultative diffusion- Particles moving through the protein channels from hig to low concentrationDiffusion- something moving through a cell membrane from high to low concentrationosmosis- water moving through a cell membrane from high concentration to low concentration'
15339	6	3	3	'Osmosis - Diffusion of water through the cell membrane.Active Transport - Cell uses activation energy to surround and engulf the object.Passive Transport - Cell uses no energy and lets the object pass through the cell membrane with a special protein.'
15366	6	3	3	'Passive transport, active transport, and diffusion.Passive transport is things leaving and entering the cell without using any energy.Active transport is using energy to move things into or out of the cell.Diffusion is when an area of higher concentration moves that substance that it is concentrated in to an area with a lower concentration.'
15421	6	3	3	'diffusion-is the movement of somthing froma higher concentration to a lower concentration.osmosis-is the movement of water from higher concentrations to lower concentrations through a membranesodium pottasium pump- the use of energy to transfer sodium and pottasium ions from lower concentrations to higher concentrations.'
15480	6	3	3	'Facilitated diffusion- is a way that substances move from one form of concentration to another form of consintration, diffusion- it takes substances from an area of high concentration to low consintraion, osmosis- deals with the water bieng moved'
15544	6	3	3	'Osmosis is the passing of water through the cell membrane. Through osmosis, water can freely pass through the membrane. Diffusion is the passive transport of substances through the cell membrane. In passive transport, substances can freely pass through the membrane without requiring energy from ATP.Active transport is the passing of substances through the cell membrane through transport systems. These require ATP for energy to pass the substances through the membrane.'
15618	6	3	2	'Cells use there selective membranes to decide what goes in and out of a cell.Cells use active transport which is moving things acrosss the concentration granite.Cells use passive transport which moves things with the concentration granite.'
15627	6	3	3	'Active transport-requires energyPassive transport- requires no energyosmosis- the movement of water from one place to another'
15713	6	3	3	'Cells can use osmosis which is the diffusion of water across a cell membrane.Cells can use facilitated diffusion which is the movement of particales across a membrane.Cells can use passive or active transport. Active has to do with proteins on the membrane called channel protein, this uses energy.  Passive transport does not use channel proteins, nor does it use energy.'
15728	6	3	3	'Passive Transport-where no energy is needed for the transportation of things in or out of the cell.Active Transport-where energy is required for the transportation of things in or out of the cell.Endocytosis-the process where the cell surrounds sumthing and brings it into the cell because it is to big to travel through one of the channels.'
15738	6	3	3	'Osmosis is where water helps move things in and out of the cell. Active transport is when energy is used to move the substances across the cell membrane.Passive transport is when energy is not used to move the substances across the cell membrane.'
15744	6	3	2	'Three processes used by cells to control the movement of substances across the cell membrane are osmosis, facilitated diffusion and active transport. Osmosis is the diffusion of water across a semi-permiable membrane. Facilitated diffusion is the diffusion of a large molecule across a semi-permiable membrane that requires help, such as transport protiens. Active diffusion is the diffusion of a molecule that requires the use of energy.'
15747	6	3	3	'The plasma membrane is selectivly permeable.  It lets oblects in or out of the cell.  Diffusion lets objects move through the plasma membrane along the concentration gradient, without the need for energy.  Facilitated diffusion lets objects too big to fit through the plasma membrane enter the cell through transport proteins without the need for energy.  Active transport lets objects enter the cell against the concentration gradient through protiens.'
